List_A_Item	Best_Match_from_List_B
pepperoni, beef and pork, sliced	pepperoni, pork, beef
snacks, tortilla chips, plain, white corn, salted	snacks, tortilla chips, plain, white corn, salted
beverages, water, tap, drinking	water, tap, drinking
pork sausage, link/patty, cooked, pan-fried	pork sausage, link/patty, cooked, pan-fried
beverages, tea, black, brewed, prepared with tap water	tea, black, brewed, prepared with tap water
salad dressing, mayonnaise, regular	salad dressing, mayonnaise
rice, brown, long-grain, cooked (includes foods for usda's food distribution program)	rice, brown, long-grain, cooked (includes foods for usda's food distribution program)
rice, white, long-grain, regular, enriched, cooked	rice, white, long-grain, regular, cooked, enriched
blueberries, frozen, unsweetened (includes foods for usda's food distribution program)	blueberries, frozen, unsweetened
soup, chicken broth, ready-to-serve	soup, chicken broth, ready-to-serve
pasta, cooked, enriched, without added salt	pasta, cooked, enriched, without added salt
wheat flour, whole-grain (includes foods for usda's food distribution program)	wheat flour, whole-grain
gravy, chicken, canned or bottled, ready-to-serve	gravy, chicken, canned, ready-to-serve
beverages, water, tap, municipal	water, tap, municipal
rice, white, glutinous, unenriched, cooked	rice, white, glutinous, cooked
potatoes, baked, flesh and skin, without salt	potatoes, baked, flesh and skin, without salt
cake, pudding-type, yellow, dry mix	cake, yellow, dry mix, pudding-type
cheese, mozzarella, low moisture, part-skim	cheese, mozzarella, low moisture, part-skim
beverages, fruit flavored drink, less than 3% juice, not fortified with vitamin c	fruit flavored drink, less than 3% juice, not fortified with vitamin c
beverages, coffee, brewed, espresso, restaurant-prepared	coffee, brewed, espresso, restaurant-prepared
noodles, egg, enriched, cooked	noodles, egg, cooked, enriched
beverages, tea, herb, other than chamomile, brewed	tea, herb, other than chamomile, brewed
pork, cured, bacon, pre-sliced, cooked, pan-fried	pork, cured, bacon, cooked, pan-fried
beverages, cocoa mix, no sugar added, powder	cocoa mix, with aspartame, powder, prepared with water
cereals ready-to-eat, post, shredded wheat, original big biscuit	cereals ready-to-eat, post, shredded wheat, original big biscuit
cereals ready-to-eat, post, shredded wheat, original spoon-size	cereals ready-to-eat, post, shredded wheat, original spoon-size
beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients	chocolate-flavor beverage mix for milk, powder, with added nutrients
fish, fish sticks, frozen, prepared	fish, fish portions and sticks, frozen, preheated
salad dressing, italian dressing, commercial, reduced fat	salad dressing, italian dressing, reduced fat
cranberries, dried, sweetened (includes foods for usda's food distribution program)	cranberries, dried, sweetened
rice flour, white, unenriched	rice flour, white
chayote, fruit, raw	chayote, fruit, raw
cereals ready-to-eat, general mills, corn chex	corn chex
crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)	crustaceans, shrimp, mixed species, raw
apples, raw, with skin (includes foods for usda's food distribution program)	apples, raw, with skin
bread, crumbs, dry, grated, plain	bread crumbs, dry, grated, plain
beverages, coffee, brewed, prepared with tap water	coffee, brewed from grounds, prepared with tap water
sweet potato, cooked, baked in skin, flesh, without salt	sweet potato, cooked, baked in skin, without salt
beverages, carbonated, club soda	carbonated beverage, club soda
lemon juice from concentrate, canned or bottled	lemon juice, canned or bottled
applesauce, canned, sweetened, without salt	applesauce, canned, sweetened, without salt
beverages, tea, black, brewed, prepared with tap water, decaffeinated	tea, black, brewed, prepared with tap water
peaches, yellow, raw	peaches, yellow, raw
refried beans, canned, traditional style	refried beans, canned, traditional style (includes usda commodity)
beverages, whiskey sour mix, bottled	whiskey sour mix, bottled
salad dressing, ranch dressing, regular	salad dressing, ranch dressing, regular
pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw
peanut butter, smooth style, with salt (includes foods for usda's food distribution program)	peanut butter, smooth style, with salt
beverages, fruit juice drink, greater than 3% juice, high vitamin c	fruit juice drink, greater than 3% juice, high vitamin c
muffins, english, wheat	english muffins, whole-wheat, toasted
restaurant, chinese, fried rice, without meat	restaurant, chinese, fried rice, without meat
fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato	fast foods, submarine sandwich, with cold cuts
beverages, carbonated, cola, without caffeine	carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine
raisins, dark, seedless (includes foods for usda's food distribution program)	raisins, dark, seedless (includes foods for usda's food distribution program)
egg rolls, vegetable, frozen, prepared	egg rolls, vegetable, refrigerated, heated
beverages, lemonade-flavor drink, powder	lemonade-flavor drink, powder
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8 fat, choice, cooked, grilled	tea
beef, round, top round steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, grilled	tea
ham, sliced, pre-packaged, deli meat (96%fat free, water added)	ham, sliced, prepackaged (96% fat free, water added)
beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine	carbonated beverage, low calorie, cola or pepper-type, with aspartame, contains caffeine
beverages, coffee, instant, regular, powder	coffee, instant, regular, powder
sweeteners, tabletop, saccharin (sodium saccharin)	sweeteners, tabletop, saccharin
muffins, english, plain, enriched, with ca prop (includes sourdough)	english muffins, plain, enriched, with ca prop (includes sourdough)
beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine	carbonated beverage, low calorie, other than cola or pepper, with aspartame, contains caffeine
beef, round, bottom round , roast, separable lean only, trimmed to 1/8 fat, select, cooked, roasted	beef, round, bottom round, roast, separable lean only, trimmed to 1/8 fat, select, cooked, roasted
beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine	carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine
beverages, carbonated, low calorie, other than cola or pepper,  without caffeine	none
beans, black turtle, mature seeds, cooked, boiled, without salt	beans, black, mature seeds, cooked, boiled, without salt
beverages, carbonated, ginger ale	carbonated beverage, ginger ale
beverages, coffee, brewed, prepared with tap water, decaffeinated	coffee, brewed from grounds, prepared with tap water
sausage, italian, pork, mild, cooked, pan-fried	sausage, italian, pork, cooked
pineapple juice, canned or bottled, unsweetened, with added ascorbic acid	pineapple juice, canned or bottled, unsweetened, with added ascorbic acid
beverages, pepsico quaker, gatorade, g performance o 2, ready-to-drink.	none
fish, cod, pacific, cooked, dry heat (may contain additives to retain moisture)	fish, cod, pacific, cooked, dry heat
potatoes, flesh and skin, raw	potatoes, white, flesh and skin, raw
beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame	fruit-flavored drink, dry powdered mix, low calorie, with aspartame
bread, white wheat	bread, white wheat
beverages, mixed vegetable and fruit juice drink, with added nutrients	fruit punch drink, without added nutrients, canned
sausage, turkey, breakfast links, mild, raw	turkey
beverages, carbonated, root beer	beer
beef, round, top round steak, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, grilled	tea
fish, cod, pacific, raw (may have been previously frozen)	fish, cod, pacific, raw (may have been previously frozen)
pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw	pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw
bread, sticks, plain	crackers, melba toast, plain, without salt
beverages, energy drink, rockstar, sugar free	energy drink, rockstar, sugar free
applesauce, canned, unsweetened, without added ascorbic acid (includes foods for usda's food distribution program)	applesauce, canned, unsweetened, without added ascorbic acid (includes usda commodity)
cereals ready-to-eat, quaker, oatmeal squares	cereals ready-to-eat, quaker, quaker oatmeal squares
bagels, wheat	bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)
cake, cheesecake, commercially prepared	cheesecake commercially prepared
beverages, chocolate-flavored drink, whey and milk based	chocolate-flavored drink, whey and milk based
syrups, sugar free	none
snacks, granola bar, quaker, chewy, 90 calorie bar	snacks, granola bar, kashi golean, crunchy, mixed flavors
beverages, energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12	energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12
cereals ready-to-eat, post bran flakes	cereals ready-to-eat, post, 100% bran cereal
cabbage, chinese (pak-choi), raw	cabbage, chinese (pak-choi), raw
frozen novelties, no sugar added, fudgsicle pops	frozen novelties, no sugar added, fudgesicle pops
orange juice, chilled, includes from concentrate, with added calcium	orange juice, chilled, includes from concentrate, fortified with calcium
orange juice, chilled, includes from concentrate, with added calcium and vitamin d	orange juice, chilled, includes from concentrate, fortified with calcium and vitamin d
bread, stuffing, dry mix	bread stuffing, bread, dry mix
cake, pound, commercially prepared, butter (includes fresh and frozen)	cake, pound, commercially prepared, butter (includes fresh and frozen)
beverages, carbonated, sprite, lemon-lime, without caffeine	carbonated beverage, sprite, lemon-lime, without caffeine
crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)	crustaceans, shrimp, mixed species, cooked, moist heat
fast foods, potatoes, hash browns, round pieces or patty	mcdonald's, hash browns
snacks, kellogg, kellogg's, nutri-grain cereal bars, fruit	snacks, kellogg's, nutri-grain cereal bars, fruit
fish, pollock, raw	fish, pollock, raw
beverages, pepsico quaker, gatorade g2, low calorie	sports drink, pepsico quaker gatorade, gatorade, original, fruit-flavored, ready-to-drink
tomato products, canned, paste, without salt added (includes foods for usda's food distribution program)	tomato products, canned, paste, without salt added
beverages, cranberry-apple juice drink, low calorie, with vitamin c added	cranberry-apple juice drink, low calorie, with vitamin c added
pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw	pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw
soup, chicken broth, less/reduced sodium, ready to serve	campbell soup company, campbell's low sodium soups, chicken broth
beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated	coffee, brewed, espresso, restaurant-prepared, decaffeinated
beverages, carbonated, tonic water	carbonated beverage, tonic water
pineapple juice, canned or bottled, unsweetened, without added ascorbic acid	pineapple juice, canned
pork, cured, bacon, unprepared	pork, cured, bacon, raw
beverages, coca-cola, powerade, lemon-lime flavored, ready-to-drink	sports drink, coca-cola, powerade, lemon-lime flavored, ready-to-drink
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, with added solution, raw	pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, with added solution, raw
candies, hershey's skor toffee bar	candies, skor toffee bar
beverages, wine, non-alcoholic	wine [white]
plantains, yellow, raw	plantains, yellow, fried, latino restaurant
orange juice, raw (includes foods for usda's food distribution program)	orange juice, raw
beverages, cocoa mix, powder	cocoa mix, powder
sweet potato, raw, unprepared (includes foods for usda's food distribution program)	sweet potato, raw, unprepared (includes foods for usda's food distribution program)
grapefruit juice, white, canned or bottled, unsweetened	juice, grapefruit, white, canned, unsweetened
bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs	bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat,with added solution, raw	pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw
beverages, fruit flavored drink containing less than 3% fruit juice, with high vitamin c	fruit flavored drink containing less than 3% fruit juice, with high vitamin c
cake, pudding-type, chocolate, dry mix	cake, chocolate, dry mix, pudding-type
beef, ground, 85% lean meat / 15% fat, raw (includes foods for usda's food distribution program)	beef, ground, 85% lean meat / 15% fat, raw
potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil	potatoes, hashed brown, frozen, plain, prepared
cheese, cheddar (includes foods for usda's food distribution program)	cheese, cheddar (includes foods for usda's food distribution program)
yogurt, plain, skim milk	yogurt, plain, skim milk, 13 grams protein per 8 ounce
yogurt, plain, low fat	yogurt, plain, low fat, 12 grams protein per 8 ounce
yogurt, plain, whole milk	yogurt, plain, whole milk
milk, chocolate, lowfat, with added vitamin a and vitamin d	milk, chocolate, fluid, commercial, reduced fat, with added vitamin a and vitamin d
pancakes, whole wheat, dry mix, incomplete	pancakes, plain, dry mix, incomplete (includes buttermilk)
chicken breast, deli, rotisserie seasoned, sliced, prepackaged	none
chicken, broiler, rotisserie, bbq, drumstick, meat only	chicken, flesh and skin, grilled
chicken, broiler, rotisserie, bbq, drumstick, meat and skin	chicken, flesh and skin, grilled
chicken, broiler, rotisserie, bbq, breast, meat only	chicken, flesh and skin, grilled
cheese, cheddar, reduced fat (includes foods for usda's food distribution program)	cheese, cheddar, reduced fat (includes foods for usda's food distribution program)
chicken, broiler, rotisserie, bbq, wing, meat and skin	chicken, flesh and skin, grilled
chicken, broiler or fryers, breast, skinless, boneless, meat only, raw	chicken, broiler or fryers, breast, skinless, boneless, meat only, raw
fast foods, fried chicken, breast, meat and skin and breading	chicken, flesh and skin, grilled
turkey, whole, meat only, with added solution, roasted	turkey, whole, meat only, with added solution, roasted
turkey, whole, meat only, cooked, roasted	turkey, whole, meat only, cooked, roasted
bread, naan, whole wheat, commercially prepared, refrigerated	none
chicken, broiler, rotisserie, bbq, thigh, meat only	chicken, flesh and skin, grilled
orange juice, frozen concentrate, unsweetened, undiluted, with added calcium	orange juice, frozen concentrate, unsweetened, undiluted
rice and vermicelli mix, rice pilaf flavor, unprepared	none
duck, domesticated, meat and skin, cooked, roasted	duck, domesticated, meat and skin, cooked, roasted
restaurant, chinese, vegetable chow mein, without meat or noodles	none
beverages, nestle, boost plus, nutritional drink, ready-to-drink	nutritional drink
potatoes, mashed, ready-to-eat	potatoes, mashed, ready-to-eat
cabbage, kimchi	none
guava nectar, with sucralose, canned	none
sauce, horseradish	horseradish
cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber	cake, snack cakes, creme-filled, sponge
blueberries, dried, sweetened	blueberries, dried, sweetened
pizza, cheese topping, thin crust, frozen, cooked	pizza, cheese topping, thin crust, frozen, cooked
turkey from whole, light meat, meat only, with added solution, cooked, roasted	turkey, from whole, light meat, meat only, with added solution, cooked, roasted
strawberries, frozen, unsweetened (includes foods for usda's food distribution program)	strawberries, frozen, unsweetened
crackers, multigrain	crackers, whole-wheat, low salt
bread, wheat, sprouted	wheat, sprouted
fast foods, fried chicken, wing, meat and skin and breading	none
