List_A_Item	Best_Match_from_List_B
butter, salted	unsalted butter
cheese, cheddar	none
cream, fluid, half and half	half and half
cream, sour, cultured	sour cream
milk, whole, 3.25% milkfat, with added vitamin d	whole milk
milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d	whole milk
egg, whole, raw, fresh	none
egg, yolk, raw, fresh	brown egg yolk
chicken, broiler or fryers, breast, skinless, boneless, meat only, raw	none
soup, chicken broth, ready-to-serve	low sodium chicken broth
garlic, raw	garlic
mushrooms, white, raw	steamed whole white mushrooms
mushrooms, canned, drained solids	none
onions, raw	onion
peppers, sweet, green, raw	steamed whole green bell pepper w/o seed
tomatoes, red, ripe, raw, year round average	muir's diced tomatoes
tomatoes, red, ripe, canned, packed in tomato juice	muir's diced tomatoes
seaweed, wakame, raw	roasted seaweed
peppers, jalapeno, raw	jalapeno
beverages, coffee, brewed, prepared with tap water	brewed coffee
refried beans, canned, traditional style	refried beans
soy flour, defatted	soy flour
cocoa, dry powder, unsweetened	none
sugars, granulated	none
barley, pearled, raw	whole grain pearl barley
cornstarch	none
rice, white, long-grain, regular, raw, enriched	enriched long white rice (mahatma)
wheat flour, white, all-purpose, enriched, bleached	white bread
beef, top sirloin, steak, separable lean only, trimmed to 1/8 fat, choice, raw	none
celery, raw	steamed celery stalk
coriander (cilantro) leaves, raw	parsley
cucumber, with peel, raw	whole english cucumber
tomato products, canned, paste, without salt added	hunt's tomato paste
beverages, carbonated, cola, regular	coca cola
rice, white, long-grain, regular, enriched, cooked	enriched long white rice (mahatma)
wheat bran, crude	none
beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled	ground pork
beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled	ground pork
beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled	ground pork
beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled	ground pork
egg, white, raw, fresh	brown egg yolk
cheese product, pasteurized process, american, vitamin d fortified	american cheese
turkey, ground, cooked	ground turkey
cabbage, raw	none
tomato products, canned, sauce	hunt's tomato sauce
beef, top sirloin, steak, separable lean and fat, trimmed to 0 fat, all grades, cooked, broiled	none
beef, top sirloin, steak, separable lean only, trimmed to 0 fat, all grades, cooked, broiled	none
beef, round, top round steak, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, grilled	none
beef, round, top round steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, grilled	none
beverages, carbonated, sprite, lemon-lime, without caffeine	sprite
beverages, coffee, instant, decaffeinated, powder	none
beans, black, mature seeds, cooked, boiled, without salt	canned black beans (s&w)
beans, pinto, mature seeds, cooked, boiled, without salt	none
sugars, brown	none
candies, chocolate, dark, nfs (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)	chocolate
beef, short loin, top loin, steak, separable lean only, trimmed to 1/8 fat, all grades, cooked, broiled	none
cheese spread, pasteurized process, american	none
lettuce, iceberg (includes crisphead types), raw	steamed iceberg lettuce
chicken, broiler, rotisserie, bbq, breast, meat only	none
orange juice, chilled, includes from concentrate	pulp free orange juice
mung beans, mature seeds, sprouted, raw	steamed whole snow peas
onions, young green, tops only	onion
nuts, almonds	pecan
nuts, walnuts, english	walnuts
beverages, carbonated, cola, without caffeine	none
beverages, coffee, brewed, prepared with tap water, decaffeinated	brewed coffee
beverages, tea, black, brewed, prepared with tap water	black tea
cornmeal, degermed, enriched, yellow	cornmeal
cheese, mozzarella, low moisture, part-skim	low moisture part skim mozarella cheese
cheese product, pasteurized process, american, reduced fat, fortified with vitamin d	none
cheese, pasteurized process, american, without added vitamin d	none
cheese spread, american or cheddar cheese base, reduced fat	sharp chedder cheese
cheese, cheddar, reduced fat	sharp chedder cheese
cranberries, dried, sweetened	cranberry
orange juice, chilled, includes from concentrate, with added calcium and vitamin d	pulp free orange juice
orange juice, chilled, includes from concentrate, with added calcium	pulp free orange juice
spinach, canned, regular pack, drained solids	canned black beans (s&w)
beans, kidney, red, mature seeds, raw	canned kidney beans
beans, kidney, red, mature seeds, canned, solids and liquids	canned kidney beans
snacks, popcorn, air-popped	popcorn
cheese, cream, low fat	sour cream
sausage, pork, chorizo, link or ground, cooked, pan-fried	ground pork
cheese, cottage, creamed, large or small curd	cottage cheese
chicken, broilers or fryers, thigh, meat only, cooked, roasted	none
cabbage, red, raw	purple cabbage
potatoes, boiled, cooked without skin, flesh, without salt	steamed whole russet potato
nuts, pecans	pecan
beverages, coffee, instant, regular, powder	brewed coffee
honey	honey
wheat flour, whole-grain (includes foods for usda's food distribution program)	whole wheat flour
pineapple, canned, water pack, solids and liquids	none
potatoes, baked, flesh, without salt	steamed russet potato flesh only
pickle relish, sweet	none
chicken, broiler, rotisserie, bbq, drumstick, meat only	none
parsley, fresh	parsley
sweet potato, cooked, baked in skin, flesh, without salt	steamed whole sweet potato
lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt	lima beans
cauliflower, raw	steamed cauliflower florets and stalk
seeds, sunflower seed kernels, dry roasted, without salt	sunflower seeds
asparagus, raw	frozen whole baby asparagus
blueberries, raw	whole blueberry
peppers, sweet, green, cooked, boiled, drained, without salt	steamed green zuchini
nuts, cashew nuts, dry roasted, without salt added	cashew
beef, round, top round steak, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, broiled	none
peanuts, all types, raw	peanuts
peanuts, all types, dry-roasted, with salt	peanuts
egg, whole, cooked, hard-boiled	brown egg yolk
beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned	ground pork
beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned	ground pork
butter, whipped, with salt	unsalted butter
yogurt, plain, whole milk	yogurt
apple juice, canned or bottled, unsweetened, without added ascorbic acid	apple juice
apricots, raw	whole apricot
blackberries, raw	none
grapes, red or green (european type, such as thompson seedless), raw	red seedless grape
peaches, yellow, raw	whole yellow peach (prima farms)
raspberries, raw	none
strawberries, raw	whole strawberry
blueberries, frozen, unsweetened	frozen whole blueberry
pears, raw	whole bartlett pear flesh only
chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt	none
