experiment,dataset,model_family,model_size,strategy_id,strategy_name,response_format,overall_accuracy,match_accuracy,no_match_accuracy,avg_response_time,throughput,missed_matches,wrong_matches,false_positives,sample_size
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S13,text_detailed,text,0.557,0.207,0.948,1.079,86.15,520,32,32,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S15,text_semantic,text,0.557,0.256,0.894,1.090,85.26,463,55,66,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S20,text_validation,text,0.547,0.257,0.873,0.903,100.98,454,63,79,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S03,number_detailed,number,0.544,0.177,0.955,1.391,68.15,514,59,28,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S11,text_minimal,text,0.511,0.096,0.976,1.233,76.40,623,6,15,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S18,text_smart_categ,text,0.511,0.221,0.836,1.095,84.33,440,102,102,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S01,number_minimal,number,0.506,0.167,0.887,1.378,68.72,532,48,70,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S12,text_simple,text,0.506,0.070,0.994,1.254,74.73,644,3,4,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S16,text_strict,text,0.500,0.319,0.704,1.070,86.62,340,134,184,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S06,number_semantic,number,0.490,0.129,0.894,1.288,73.01,525,81,66,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S08,number_smart_categ,number,0.490,0.037,0.997,1.231,72.75,656,14,2,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S14,text_ruler_fewshot,text,0.476,0.009,1.000,1.313,71.84,690,0,0,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S09,number_point_game,number,0.472,0.000,1.000,1.227,76.05,696,0,0,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S19,text_point_game,text,0.462,0.017,0.960,0.899,102.41,658,26,25,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S17,text_contextual,text,0.403,0.516,0.277,0.961,96.98,95,242,449,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S02,number_simple,number,0.345,0.266,0.435,1.263,73.20,283,228,351,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S05,number_strict,number,0.312,0.401,0.213,1.226,74.32,45,372,489,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S10,number_validation,number,0.275,0.274,0.275,1.231,74.91,92,413,450,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S07,number_contextual,number,0.197,0.372,0.000,1.202,77.67,0,437,621,1317
NHANES_Gemma3_4b,NHANES,Gemma3,4b,S04,number_ruler_fewshot,number,0.051,0.023,0.082,1.257,75.42,92,588,570,1317
