experiment,strategy,strategy_id,format,overall_acc,match_acc,no_match_acc,avg_time,throughput,missed_matches,wrong_matches,false_positives
NHANES_Gemma3_4b,text_semantic,S15,text,0.554,0.251,0.894,1.095,84.82,467,54,66
NHANES_Gemma3_4b,text_detailed,S13,text,0.554,0.203,0.947,1.058,87.64,526,29,33
NHANES_Gemma3_4b,text_validation,S20,text,0.544,0.253,0.871,0.916,101.41,448,72,80
NHANES_Gemma3_4b,number_detailed,S03,number,0.541,0.172,0.955,1.339,70.03,519,57,28
NHANES_Gemma3_4b,text_minimal,S11,text,0.511,0.093,0.979,1.233,75.34,625,6,13
NHANES_Gemma3_4b,text_smart_categ,S18,text,0.509,0.216,0.839,1.102,84.69,444,102,100
NHANES_Gemma3_4b,number_minimal,S01,number,0.507,0.168,0.887,1.362,69.30,533,46,70
NHANES_Gemma3_4b,text_simple,S12,text,0.504,0.068,0.994,1.264,74.22,647,2,4
NHANES_Gemma3_4b,text_strict,S16,text,0.503,0.315,0.713,1.040,89.96,355,122,178
NHANES_Gemma3_4b,number_semantic,S06,number,0.491,0.131,0.895,1.307,72.70,524,81,65
NHANES_Gemma3_4b,number_smart_categ,S08,number,0.491,0.040,0.997,1.234,71.06,657,11,2
NHANES_Gemma3_4b,text_ruler_fewshot,S14,text,0.475,0.006,1.000,1.343,69.84,692,0,0
NHANES_Gemma3_4b,number_point_game,S09,number,0.472,0.000,1.000,1.266,70.90,696,0,0
NHANES_Gemma3_4b,text_point_game,S19,text,0.460,0.016,0.958,0.888,104.36,653,32,26
NHANES_Gemma3_4b,text_contextual,S17,text,0.409,0.523,0.280,0.964,97.59,95,237,447
NHANES_Gemma3_4b,number_simple,S02,number,0.346,0.269,0.433,1.214,75.08,290,219,352
NHANES_Gemma3_4b,number_strict,S05,number,0.309,0.408,0.198,1.230,74.38,41,371,498
NHANES_Gemma3_4b,number_validation,S10,number,0.276,0.274,0.279,1.243,73.91,91,414,448
NHANES_Gemma3_4b,number_contextual,S07,number,0.197,0.374,0.000,1.262,70.70,0,436,621
NHANES_Gemma3_4b,number_ruler_fewshot,S04,number,0.053,0.023,0.087,1.298,71.38,80,600,567
