input_desc,predicted_desc,target_desc,label,correct
"butter, salted",unsalted butter,unsalted butter,1.0,True
"cheese, cheddar",cottage cheese,sharp chedder cheese,1.0,False
"cream, fluid, half and half",half and half,half and half,1.0,True
"cream, sour, cultured",cream cheese,sour cream,1.0,False
"milk, whole, 3.25% milkfat, with added vitamin d",whole milk,whole milk,1.0,True
"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",whole milk,whole milk,1.0,True
"egg, whole, raw, fresh",whole brown egg,whole brown egg,1.0,True
"egg, yolk, raw, fresh",brown egg yolk,brown egg yolk,1.0,True
"chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",chicken breast,chicken breast,1.0,True
"soup, chicken broth, ready-to-serve",low sodium chicken broth,low sodium chicken broth,1.0,True
"soup, chicken broth, ready-to-serve, reduced sodium",low sodium chicken broth,,,False
"soup, beef broth, ready-to-serve",vegetable broth,,,False
"soup, vegetable broth, ready-to-serve",vegetable broth,,,False
"soup, chicken noodle, ready-to-serve",low sodium chicken broth,,,False
"soup, tomato, ready-to-serve",muir's diced tomatoes,,,False
"chicken, broiler or fryers, thigh, skinless, boneless, meat only, raw",chicken breast,,,False
"chicken, broiler or fryers, wing, meat and skin, raw",chicken breast,,,False
"chicken, broiler or fryers, leg, meat and skin, raw",chicken breast,,,False
"chicken, broiler or fryers, meat and skin, raw",chicken breast,,,False
"chicken, broiler or fryers, giblets, raw",chicken breast,,,False
"beef, ground, 85% lean meat / 15% fat, raw",lean ground beef,,,False
"beef, ground, 80% lean meat / 20% fat, raw",lean ground beef,beef round tip steak,1.0,False
"beef, ground, 90% lean meat / 10% fat, raw",lean ground beef,beef round tip steak,1.0,False
"beef, ground, 95% lean meat / 5% fat, raw",lean ground beef,beef round tip steak,1.0,False
"beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, raw",lean ground beef,,,False
"beef, chuck, shoulder clod, separable lean only, trimmed to 1/8"" fat, choice, raw",lean ground beef,,,False
"beef, loin, tenderloin, separable lean only, trimmed to 1/8"" fat, choice, raw",lean ground beef,,,False
"pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",lean ground beef,,,False
"pork, fresh, loin, tenderloin, separable lean only, raw",lean ground beef,ground pork,1.0,False
"pork, fresh, shoulder, whole, separable lean only, raw",lean ground beef,,,False
"fish, salmon, atlantic, farmed, raw",salmon,,,False
"fish, salmon, chinook, raw",salmon,,,False
"fish, tuna, light, canned in water, drained solids",canned tuna in water,albacore white tuna,1.0,False
"fish, tuna, yellowfin, fresh, raw",canned tuna in water,,,False
"fish, cod, atlantic, raw",salmon,,,False
"fish, halibut, atlantic and pacific, raw",salmon,,,False
"shellfish, shrimp, mixed species, raw",salmon,,,False
"bread, white, commercially prepared (includes soft bread crumbs)",whole wheat bread,,,False
"bread, whole-wheat, commercially prepared",whole wheat bread,,,False
"bread, reduced-calorie, white",whole wheat bread,,,False
"bread, reduced-calorie, wheat",whole wheat bread,,,False
"cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",cooked oat bran,,,False
"cereals, ready-to-eat, wheat, puffed, fortified",cooked oat bran,,,False
"cereals, ready-to-eat, rice, puffed, fortified",cooked white rice,,,False
"rice, white, long-grain, regular, raw, unenriched",cooked white rice,,,False
"rice, brown, long-grain, raw",cooked white rice,brown rice (mahatma),1.0,False
"pasta, cooked, unenriched, without added salt",cooked white rice,,,False
"potatoes, russet, flesh and skin, raw",red potatoes with skin,,,False
"potatoes, red, flesh and skin, raw",red potatoes with skin,,,False
"sweet potato, raw, unprepared",red potatoes with skin,,,False
"carrots, raw",baby carrots,steamed whole carrots,1.0,False
"broccoli, raw",fresh broccoli florets,steamed crown broccoli florets and stalk,1.0,False
"spinach, raw",baby spinach leaves,spinach leaves,1.0,False
"lettuce, iceberg (includes crisphead types), raw",iceberg lettuce,steamed iceberg lettuce,1.0,False
"lettuce, romaine, raw",iceberg lettuce,,,False
"tomatoes, red, ripe, raw, year round average",muir's diced tomatoes,whole green house (large) tomato,1.0,False
"tomatoes, red, ripe, canned, packed in tomato juice",muir's diced tomatoes,muir's diced tomatoes,1.0,True
"onions, raw",yellow onion,onion,1.0,False
"peppers, sweet, red, raw",red bell pepper,steamed whole red bell pepper w/o seed,1.0,False
"peppers, sweet, green, raw",red bell pepper,steamed whole green bell pepper w/o seed,1.0,False
"apples, raw, with skin (includes usda commodity food a343)",granny smith apple with peel,,,False
"apples, raw, without skin",granny smith apple with peel,whole golden del apple w/o seed,1.0,False
"bananas, raw",banana,yellow banana flesh only,1.0,False
"oranges, raw, all commercial varieties",navel orange,navel orange,1.0,True
"grapes, red or green (european type, such as thompson seedless), raw",red grapes,red seedless grape,1.0,False
"strawberries, raw",fresh strawberries,whole strawberry,1.0,False
"blueberries, raw",fresh blueberries,whole blueberry,1.0,False
"oil, olive, salad or cooking",olive oil,,,False
"oil, vegetable, canola",olive oil,,,False
"oil, vegetable, corn",olive oil,,,False
"oil, vegetable, soybean",olive oil,,,False
"vinegar, cider",olive oil,,,False
"nuts, almonds",raw almonds,roasted almonds,1.0,False
"nuts, walnuts, english",raw almonds,walnuts,1.0,False
"nuts, peanuts, all types, dry-roasted, without salt",raw almonds,,,False
"seeds, sunflower seed kernels, dry roasted, without salt",raw almonds,sunflower seeds,1.0,False
"beans, kidney, red, mature seeds, cooked, boiled, without salt",kidney beans,canned kidney beans,1.0,False
"beans, black, mature seeds, cooked, boiled, without salt",kidney beans,canned black beans (s&w),1.0,False
"beans, pinto, mature seeds, cooked, boiled, without salt",kidney beans,canned low sodium pinto bean,1.0,False
"lentils, mature seeds, cooked, boiled, without salt",kidney beans,whole grain brown lentils,1.0,False
"chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",kidney beans,canned garbanzo beans,1.0,False
"yogurt, plain, whole milk",greek yogurt,yogurt,1.0,False
"yogurt, plain, low fat",greek yogurt,yogurt,1.0,False
"ice cream, vanilla",vanilla ice cream,,,False
"cheese, cottage, creamed, large or small curd",cottage cheese,cottage cheese,1.0,True
"cheese, mozzarella, part skim milk",part skim mozzarella cheese,low moisture part skim mozarella cheese,1.0,False
"cheese, swiss",part skim mozzarella cheese,,,False
"cheese, american, pasteurized process",part skim mozzarella cheese,,,False
