sample_id,simple_name
19,Whole Golden Del apple w/o seed
21,Golden Del apple flesh only
34,Whole Bartlett pear w/o seed
36,Whole Bartlett pear flesh only
43,Whole Shingo pear w/o seed
46,Plantain banana (steamed 10 in)
48,Yellow banana flesh only
51,Whole apricot
53,Whole red plum
60,Whole yellow nectarine
61,Whole yellow peach (Prima Farms)
71,Yellow mango
75,Whole Green house (large) tomato
80,Whole blueberry
81,Whole raspberry
82,Whole blackberry
83,Whole strawberry
85,Whole sweet cherry
87,Navel orange
89,Pixie tangerine
90,Deep red grapefruit
91,Kiwi
93,Cantaloupe melon
94,Honeydew melon
95,Seedless watermelon
96,Gold (golden) pineapple
97,Tai nung papaya
99,Red seedless grape
103,Jicama
104,"Peeled, steamed beetroot"
106,Lime juice
114,Steamed Red chard leaves and stalk (Cal-Organic)
119,Steamed Collard greens leaves and stalk
121,Steamed Curely mustard greens
123,Steamed Baby Bok Choy leaves and stalk
124,Steamed Iceberg lettuce
125,Spinach leaves
126,Steamed Whole brussel sprouts
127,Steamed Crown broccoli florets and stalk
128,Steamed Cauliflower florets and stalk
129,Steamed Celery stalk
130,Steamed whole snow peas
131,Whole snow peas
132,Steamed Green beans
140,Steamed whole carrots
142,Steamed whole green bell pepper w/o seed
143,Steamed whole red bell pepper w/o seed
146,Steamed butternut squash
148,Steamed spaghetti squash
149,Steamed yellow neck squash
150,Steamed green zuchini
157,Steamed whole sweet potato
166,Steamed whole russet potato
167,Steamed russet potato flesh only
178,Steamed whole white mushrooms
179,Steamed whole shiitake mushrooms
184,Whole English cucumber
199,Potato bread
201,Whole Whole Grains English muffin (Oroweat)
203,Whole Original English muffin (Thomas)
205,Flour tortilla
206,Yellow corn tortilla
208,Whole wheat tortilla
212,Orange jam (Bonne Maman)
217,Creamy peanut butter (Skippy)
218,Peanut butter (Laura Scudder's)
219,Nutella spread
224,Almond Butter (Justin's)
228,Soy milk
232,Carrot juice
234,Vegetable juice
235,Apple juice
236,Pulp free orange juice
238,Lowfat chocolate milk
239,Whole milk
244,Cottage cheese
245,Low Moisture part Skim Mozarella cheese
252,Chocolate chip cookies
253,Vanilla cookies
255,Corn cereal (corn flakes)
256,Multi grain cereal
257,Whole grain oat cereal
258,Honey nut oat cereal
262,Hazelnut flour
263,Buttermilk pancake/waffle flour
265,Soy flour
267,Canned low sodium pinto bean
268,Canned black beans (S&W)
269,Canned garbanzo beans
271,Canned Kidney beans
274,Canned Artichoke hearts
277,Original apple sauce (Tree top)
282,Commercial Mac and Cheese
420,Quinoa
425,Enriched long white rice (Mahatma)
426,Brown rice (Mahatma)
427,Wheat farina cereal/cream of wheat
428,Rolled oats
432,Rice cereal (Gerber)
439,Spaghetti
442,Whole wheat spaghetti
454,Red whole grain bulgur
457,Golden flaxseed
460,Whole grain brown lentils
461,Hot cereal whole grain creamy buckwheat
464,Dried corn grits/polenta
470,Whole grain pearl barley
474,Tahini spread (365 Whole Foods Market)
487,Freeze dried mango flesh
503,Raisin bran cereal
504,Crisp rice receal
510,Wheat crackers (Nabisco)
511,Multigrain crackers
524,Dried Philippines Mango (Mariani)
525,Dried apricots
527,Banana chips
529,Freeze dried apple rings
532,Dried coconut strips
533,Dried orange slices
534,Dried coconut chips
536,Thin crackers
538,Roasted seaweed
540,Animal shaped crackers
542,Honey graham crackers
544,Cheese crackers
545,Peanut butter crackers
548,Vegetable chips
550,Popcorn
551,Peanuts
552,Cashew
555,Macadamia (Sunfood Superfood)
557,Brazil nuts
558,Pistachio (Fiddyment Farm)
559,Pine nut
560,Pecan
561,Sunflower seeds
562,Pumpkin seeds
564,Minestrone soup
566,Split pea soup
568,Multigrain bread (Trade Joes)
569,Sprouted wheat bread
584,Frozen whole blueberry
593,Frozen whole okra
595,Frozen edamame
596,Frozen whole green beans
598,Frozen broccoli florets
600,Pomegranate w/ seeds
608,Mixed vegetable burger patty
615,Ground non-meat (Beyond meat)
650,Cream of Mushroom Soup (Pacific Foods)
663,Brown Rice Rice Cake
672,Saltine Crackers
679,Organic Frosted Flakes Cereals
681,Rainbow Morning O's Cereals
694,Firm Tofu (Wildwood)
702,Soft Silken Tofu
712,Frozen Whole Sweet Green Peas (Flav R Pac)
721,Frozen Chopped Spinach (Green Giant)
727,Frozen Golden Corn Kernels (Siganture Select)
735,Frozen Whole Baby Asparagus
746,Cilantro
748,Garlic
749,Onion
750,Jalapeno
751,Parsley
752,Basil
755,Pickles
757,Refried Beans
759,Maple syrup
760,Honey
761,Soy sauce
762,American Cheese
764,Sharp Chedder Cheese
765,Coca cola
766,Sprite
767,Cornmeal
769,Jolly rancher candy
770,Walnuts
772,Cranberry
773,Table sugar
774,All purpose flour
775,Granola
776,Chocolate
777,Dates
778,Protein powder
779,Black tea
780,Gatorade
782,Cabernet Sauvignon wine
784,Budweiser
785,Corn Starch
786,Sourdough bread
787,Sour cream
788,Yogurt
789,Vanilla bean ice cream
794,Unsweetened almond milk
795,Low sodium chicken broth
799,Pasta sauce w/ tomato and basil
801,Muir's diced tomatoes
802,Hunt's Tomato paste
804,Hunt's Tomato sauce
807,Tomato Ketchup
810,Chicken Noodle Soup
811,Cannellini Beans
814,Mayonnaise
815,Chunky vegetable soup
817,Unsalted butter
819,Wheat bran cereal
828,Tortilla chips
835,Whole wheat flour
836,Whole wheat bread
840,White bread
842,Unsweetened pitted prunes
846,Kale
849,Green onion
850,Romaine lettuce
851,Eggplant
853,Albacore white tuna
861,Stir fry rice noodle
863,Toasted Pearl couscous
866,Wild blend rice
870,Bean and cheese burrito
