"food_id","food_name","orig_food_id","orig_food_common_name_uncleaned","orig_food_common_name","citation","food_V2_ID"
4,"Kiwi","29","Kiwi","kiwi","DUKE",1
6,"Garden onion","53","Onion","onion","DUKE",2
9,"Chives","55","Chives","chives","DUKE",3
11,"Cashew nut","70","Cashew","cashew","DUKE",4
12,"Pineapple","74","Pineapple","pineapple","DUKE",5
13,"Dill","83","Dill","dill","DUKE",6
14,"Custard apple","92","Custard Apple","custard apple","DUKE",7
15,"Wild celery","96","Celery","celery","DUKE",8
16,"Peanut","101","Groundnut","groundnut","DUKE",9
17,"Burdock","104","Burdock","burdock","DUKE",10
18,"Horseradish","115","Horseradish","horseradish","DUKE",11
19,"Tarragon","123","Tarragon","tarragon","DUKE",12
20,"Mugwort","127","Mugwort","mugwort","DUKE",13
21,"Asparagus","137","Asparagus","asparagus","DUKE",14
22,"Oat","144","Oats","oats","DUKE",15
23,"Star fruit","1207","Carambola","carambola","DUKE",16
24,"Brazil nut","156","Brazilnut","brazilnut","DUKE",17
26,"Borage","166","Beebread","beebread","DUKE",18
27,"Chinese mustard","171","Mustard Greens","mustard greens","DUKE",19
32,"Brussel sprouts","175","Brussel-Sprout","brussel sprout","DUKE",20
33,"Kohlrabi","180","Kohlrabi","kohlrabi","DUKE",21
34,"Broccoli","2255","Asparagus Broccoli","asparagus broccoli","DUKE",22
37,"Pigeon pea","193","Pigeonpea","pigeonpea","DUKE",23
38,"Tea","198","Tea","tea","DUKE",24
39,"Capers","205","Caper","caper","DUKE",25
40,"Pepper","207","Bell Pepper","bell pepper","DUKE",26
41,"Papaya","209","Papaya","papaya","DUKE",27
42,"Safflower","210","Safflower","safflower","DUKE",28
43,"Caraway","211","Caraway","caraway","DUKE",29
46,"Roman camomile","246","Garden Camomile","garden camomile","DUKE",30
47,"Chickpea","258","Chickpea","chickpea","DUKE",31
48,"Endive","259","Endive","endive","DUKE",32
49,"Chicory","260","Chicory","chicory","DUKE",33
50,"Chinese cinnamon","265","Canela de la China (Sp.)","canela de la china sp.","DUKE",34
51,"Ceylon cinnamon","269","Ceylon Cinnamon","ceylon cinnamon","DUKE",35
52,"Watermelon","274","Watermelon","watermelon","DUKE",36
53,"Lime","275","Lime","lime","DUKE",37
54,"Lemon","279","Lemon","lemon","DUKE",38
56,"Mandarin orange (Clementine, Tangerine)","281","Mandarin","mandarin","DUKE",39
57,"Sweet orange","282","Orange","orange","DUKE",40
59,"Arabica coffee","289","Coffee","coffee","DUKE",41
61,"Coriander","308","Chinese Parsley","chinese parsley","DUKE",42
62,"Common hazelnut","314","Cobnut","cobnut","DUKE",43
63,"Saffron","318","Saffron","saffron","DUKE",44
64,"Muskmelon","324","Cantaloupe","cantaloupe","DUKE",45
65,"Cucumber","325","Cucumber","cucumber","DUKE",46
66,"Cucurbita","328","Summer Squash","summer squash","DUKE",47
67,"Cumin","329","Cumin","cumin","DUKE",48
68,"Turmeric","331","Indian Saffron","indian saffron","DUKE",49
69,"Quince","336","Quince","quince","DUKE",50
70,"Lemon grass","337","Lemongrass","lemongrass","DUKE",51
72,"Wild carrot","357","Carrot","carrot","DUKE",52
74,"Cardamom","377","Cardamom","cardamom","DUKE",53
76,"Loquat","386","Loquat","loquat","DUKE",54
77,"Rocket salad (ssp.)","2382","Achnef (Berber; BOU)","achnef berber  bou","DUKE",55
79,"Common buckwheat","411","Buckwheat","buckwheat","DUKE",56
81,"Fig","417","Echte Feige (Ger.)","echte feige ger.","DUKE",57
82,"Fennel","420","Fennel","fennel","DUKE",58
85,"Soy bean","449","Soybean","soybean","DUKE",59
86,"Sunflower","466","Girasol","girasol","DUKE",60
87,"Sea-buckthornberry","1149","Sallow Thorn","sallow thorn","DUKE",61
88,"Barley","477","Barley","barley","DUKE",62
91,"Swamp cabbage","500","Swamp Cabbage","swamp cabbage","DUKE",63
92,"Sweet potato","501","Sweet Potato","sweet potato","DUKE",64
93,"Black walnut","513","Black Walnut","black walnut","DUKE",65
94,"Common walnut","514","English Walnut","english walnut","DUKE",66
95,"Lettuce","534","Lettuce","lettuce","DUKE",67
97,"Sweet bay","543","Bay","bay","DUKE",68
98,"Lentils","549","Lentil","lentil","DUKE",69
99,"Garden cress","556","Garden Cress","garden cress","DUKE",70
100,"Lovage","557","Lovage","lovage","DUKE",71
101,"Flaxseed","561","Flax","flax","DUKE",72
105,"Apple","595","Apple","apple","DUKE",73
106,"Mango","600","Mango","mango","DUKE",74
108,"Lemon balm","612","Balm","balm","DUKE",75
112,"Spearmint","618","Hortela da Folha Miuda","hortela da folha miuda","DUKE",76
113,"Peppermint","619","Peppermint","peppermint","DUKE",77
115,"Bitter gourd","631","Bitter Melon","bitter melon","DUKE",78
118,"Nutmeg","649","Mace","mace","DUKE",79
119,"Sweet basil","667","Basil","basil","DUKE",80
120,"Evening primrose","672","Evening-Primrose","evening primrose","DUKE",81
121,"Olive","673","Olive","olive","DUKE",82
122,"Sweet marjoram","678","Marjoram","marjoram","DUKE",83
124,"Common oregano","2085","Common Turkish Oregano","common turkish oregano","DUKE",84
125,"Rice","682","Rice","rice","DUKE",85
128,"Passion fruit","1243","Maracuya","maracuya","DUKE",86
129,"Parsnip","702","Parsnip","parsnip","DUKE",87
130,"Avocado","710","Avocado","avocado","DUKE",88
131,"Parsley","712","Parsley","parsley","DUKE",89
132,"Scarlet bean","717","Scarlet Runner Bean","scarlet runner bean","DUKE",90
133,"Lima bean","718","Butter Bean","butter bean","DUKE",91
134,"Common bean","719","Black Bean","black bean","DUKE",92
135,"Date","721","Date Palm","date palm","DUKE",93
137,"Anise","742","Anise","anise","DUKE",94
139,"Pepper (Spice)","755","Black Pepper","black pepper","DUKE",95
140,"Pistachio","758","Pistachio","pistachio","DUKE",96
141,"Common pea","759","Pea","pea","DUKE",97
142,"Purslane","783","Purslane","purslane","DUKE",98
144,"Apricot","787","Apricot","apricot","DUKE",99
146,"Sour cherry","788","Sour Cherry","sour cherry","DUKE",100
147,"European plum","789","Plum","plum","DUKE",101
148,"Almond","790","Almond","almond","DUKE",102
149,"Peach","792","Peach","peach","DUKE",103
150,"Guava","796","Guava","guava","DUKE",104
151,"Pomegranate","807","Granado (Sp.)","granado sp.","DUKE",105
152,"Pear","826","Pear","pear","DUKE",106
153,"Radish","839","Radish","radish","DUKE",107
154,"Garden rhubarb","847","Rhubarb","rhubarb","DUKE",108
155,"Blackcurrant","858","Black Currant","black currant","DUKE",109
156,"Redcurrant","859","Red Currant","red currant","DUKE",110
157,"Gooseberry","860","Gooseberry","gooseberry","DUKE",111
158,"Watercress","656","Berro","berro","DUKE",112
159,"Rosemary","873","Rosemary","rosemary","DUKE",113
162,"Red raspberry","878","Raspberry","raspberry","DUKE",114
164,"Sorrel","879","Garden Sorrel","garden sorrel","DUKE",115
165,"Common sage","888","Sage","sage","DUKE",116
166,"Black elderberry","892","Black Elder","black elder","DUKE",117
167,"Summer savory","903","Summer Savory","summer savory","DUKE",118
169,"Rye","1100","Rye","rye","DUKE",119
170,"Sesame","928","Ajonjoli (Sp.)","ajonjoli sp.","DUKE",120
173,"Garden tomato (var.)","576","Tomato","tomato","DUKE",121
174,"Eggplant","942","Aubergine","aubergine","DUKE",122
175,"Potato","945","Potato","potato","DUKE",123
178,"Spinach","957","Spinach","spinach","DUKE",124
179,"Cloves","986","Clove","clove","DUKE",125
180,"Tamarind","992","Indian Tamarind","indian tamarind","DUKE",126
181,"Dandelion","995","Dandelion","dandelion","DUKE",127
182,"Cocoa bean","1010","Cacao","cacao","DUKE",128
183,"Common thyme","1016","Common Thyme","common thyme","DUKE",129
184,"Linden","1017","Basswood","basswood","DUKE",130
186,"Fenugreek","1023","Alholva (Sp.)","alholva sp.","DUKE",131
187,"Common wheat","1025","Wheat","wheat","DUKE",132
191,"Highbush blueberry","1038","Blueberry","blueberry","DUKE",133
192,"American cranberry","1039","American Cranberry","american cranberry","DUKE",134
193,"Bilberry","1040","Bilberry","bilberry","DUKE",135
197,"Broad bean","1054","Broadbean","broadbean","DUKE",136
198,"Adzuki bean","1056","Adzuki Bean","adzuki bean","DUKE",137
199,"Gram bean","1057","Black Gram","black gram","DUKE",138
200,"Mung bean","1058","Green Gram","green gram","DUKE",139
204,"Common grape","1068","European Grape","european grape","DUKE",140
205,"Corn","1077","Corn","corn","DUKE",141
206,"Ginger","1078","Ginger","ginger","DUKE",142
264,"Red beetroot","157","Beet","beet","DUKE",143
284,"Winter squash","326","Pumpkin","pumpkin","DUKE",144
288,"Allspice","740","Allspice","allspice","DUKE",145
289,"Amaranth","63","Pigweed","pigweed","DUKE",146
291,"Arrowroot","602","Arrowroot","arrowroot","DUKE",147
312,"Breadfruit","128","Breadfruit","breadfruit","DUKE",148
313,"Breadnut tree seed","1216","Breadnut","breadnut","DUKE",149
318,"Giant butterbur","711","Butterbur","butterbur","DUKE",150
320,"Butternut","512","Butternut","butternut","DUKE",151
322,"Calabash","537","Calabash Gourd","calabash gourd","DUKE",152
326,"Carob","244","Carob","carob","DUKE",153
328,"Cassava","601","Cassava","cassava","DUKE",154
330,"Chayote","921","Chayote","chayote","DUKE",155
331,"Cherimoya","90","Cherimoya","cherimoya","DUKE",156
332,"Chervil","95","Chervil","chervil","DUKE",157
337,"Chinese water chestnut","1308","Water chestnut","water chestnut","DUKE",158
338,"Garland chrysanthemum","256","Garland Chrysanthemum","garland chrysanthemum","DUKE",159
341,"Coconut","288","Coconut","coconut","DUKE",160
345,"Corn salad","1043","Corn Salad","corn salad","DUKE",161
346,"Cottonseed","452","Cotton","cotton","DUKE",162
360,"Durian","1224","Durian","durian","DUKE",163
368,"European chestnut","220","European Chestnut","european chestnut","DUKE",164
372,"Ginkgo nuts","442","Ginkgo","ginkgo","DUKE",165
384,"Horseradish tree","1435","Ben Nut","ben nut","DUKE",166
386,"Hyacinth bean","531","Bonavist Bean","bonavist bean","DUKE",167
387,"Irish moss","253","Irish Moss","irish moss","DUKE",168
389,"Jackfruit","129","Jackfruit","jackfruit","DUKE",169
391,"Java plum","1262","Aceituna Dulce","aceituna dulce","DUKE",170
392,"Jerusalem artichoke","467","Jerusalem Artichoke","jerusalem artichoke","DUKE",171
394,"Jute","307","Jew's Mallow","jew's mallow","DUKE",172
399,"Lambsquarters","249","Lambsquarter","lambsquarter","DUKE",173
401,"Wild leek","52","Elephant Garlic","elephant garlic","DUKE",174
407,"Sacred lotus","657","Water Lotus","water lotus","DUKE",175
408,"White lupine","573","White Lupine","white lupine","DUKE",176
409,"Malabar spinach","152","Vinespinach","vinespinach","DUKE",177
410,"Mammee apple","1235","Mamey","mamey","DUKE",178
411,"Purple mangosteen","1228","Mangosteen","mangosteen","DUKE",179
416,"Moth bean","1055","Mat Bean","mat bean","DUKE",180
417,"Mountain yam","366","Mountain Yam","mountain yam","DUKE",181
420,"White mustard","935","White Mustard","white mustard","DUKE",182
422,"New Zealand spinach","1005","New Zealand Spinach","new zealand spinach","DUKE",183
427,"Okra","1","Okra","okra","DUKE",184
436,"Pepper (C. frutescens)","208","Cayenne","cayenne","DUKE",185
437,"Common persimmon","368","American Persimmon","american persimmon","DUKE",186
441,"Colorado pinyon","1968","Pinyon Pine","pinyon pine","DUKE",187
442,"Pitanga","1226","Pitanga","pitanga","DUKE",188
444,"French plantain","645","Banana","banana","DUKE",189
445,"American pokeweed","730","Pokeweed","pokeweed","DUKE",190
447,"Opium poppy","697","Opium Poppy","opium poppy","DUKE",191
448,"Prairie turnip","799","Breadroot","breadroot","DUKE",192
455,"Malabar plum","1263","Pomarrosa","pomarrosa","DUKE",193
457,"Roselle","474","Acedera de Guinea (Sp.)","acedera de guinea sp.","DUKE",194
467,"Common salsify","1019","Salsify","salsify","DUKE",195
468,"Sapodilla","1236","Sapodilla","sapodilla","DUKE",196
488,"Soursop","91","Soursop","soursop","DUKE",197
490,"Spirulina","2202","Spirulina","spirulina","DUKE",198
493,"Strawberry guava","795","Strawberry Guava","strawberry guava","DUKE",199
496,"Sugar apple","93","Sugar-Apple","sugar apple","DUKE",200
499,"Taro","297","Taro","taro","DUKE",201
502,"Mexican groundcherry","727","Tomatillo","tomatillo","DUKE",202
503,"Towel gourd","572","Luffa","luffa","DUKE",203
510,"Wax gourd","154","Waxgourd","waxgourd","DUKE",204
518,"Winged bean","797","Asparagus Pea","asparagus pea","DUKE",205
519,"Yam","367","Wild Yam","wild yam","DUKE",206
520,"Jicama","686","Yambean","yambean","DUKE",207
521,"Yautia","1072","Malanga","malanga","DUKE",208
534,"Black-eyed pea","2306","Black-eyed Pea","black eyed pea","DUKE",209
536,"Macadamia nut","587","Macadamia","macadamia","DUKE",210
553,"Yardlong bean","1060","Asparagus Bean","asparagus bean","DUKE",211
558,"Feijoa","1227","Brazillian Guava","brazillian guava","DUKE",212
800,"Shea tree","2181","Butterseed","butterseed","DUKE",213
802,"Ucuhuba","1095","Ucahuba","ucahuba","DUKE",214
813,"Nance","1217","Nance","nance","DUKE",215
880,"Soft-necked garlic","54","Garlic","garlic","DUKE",216
881,"Cabbage","176","Cabbage","cabbage","DUKE",217
2,"Savoy cabbage","0674","Cabbage, savoy, raw","cabbage savoy raw","DTU",218
4,"Kiwi","0465","Kiwi fruit, raw","kiwi fruit raw","DTU",219
4,"Kiwi","09148","Kiwifruit, green, raw","kiwifruit green raw","USDA",220
4,"Kiwi","09445","Kiwifruit, gold, raw","kiwifruit gold raw","USDA",221
5,"Allium","0148","Onion, raw","onion raw","DTU",222
5,"Allium","0830","Onions, chopped and deepfried","onions chopped deepfried","DTU",223
5,"Allium","0662","Onions, chopped, frozen","onions chopped frozen","DTU",224
5,"Allium","0663","Onions, spring, raw","onions spring raw","DTU",225
5,"Allium","02026","Spices, onion powder","spices onion powder","USDA",226
5,"Allium","11282","Onions, raw","onions raw","USDA",227
5,"Allium","11283","Onions, cooked, boiled, drained, without salt","onions cooked boiled drained without salt","USDA",228
5,"Allium","11284","Onions, dehydrated flakes","onions dehydrated flakes","USDA",229
5,"Allium","11285","Onions, canned, solids and liquids","onions canned solids liquids","USDA",230
5,"Allium","11286","Onions, yellow, sauteed","onions yellow sauteed","USDA",231
5,"Allium","11287","Onions, frozen, chopped, unprepared","onions frozen chopped unprepared","USDA",232
5,"Allium","11288","Onions, frozen, chopped, cooked, boiled, drained, without salt","onions frozen chopped cooked boiled drained without salt","USDA",233
5,"Allium","11289","Onions, frozen, whole, unprepared","onions frozen whole unprepared","USDA",234
5,"Allium","11290","Onions, frozen, whole, cooked, boiled, drained, without salt","onions frozen whole cooked boiled drained without salt","USDA",235
5,"Allium","11291","Onions, spring or scallions (includes tops and bulb), raw","onions spring scallions includes tops bulb raw","USDA",236
5,"Allium","11292","Onions, young green, tops only","onions young green tops only","USDA",237
5,"Allium","11294","Onions, sweet, raw","onions sweet raw","USDA",238
5,"Allium","11295","Onion rings, breaded, par fried, frozen, unprepared","onion rings breaded par fried frozen unprepared","USDA",239
5,"Allium","11296","Onion rings, breaded, par fried, frozen, prepared, heated in oven","onion rings breaded par fried frozen prepared heated oven","USDA",240
5,"Allium","11805","Onions, cooked, boiled, drained, with salt","onions cooked boiled drained with salt","USDA",241
5,"Allium","11806","Onions, frozen, chopped, cooked, boiled, drained, with salt","onions frozen chopped cooked boiled drained with salt","USDA",242
5,"Allium","11807","Onions, frozen, whole, cooked, boiled, drained, with salt","onions frozen whole cooked boiled drained with salt","USDA",243
5,"Allium","21130","Fast foods, onion rings, breaded and fried","fast onion rings breaded fried","USDA",244
7,"Leek","0212","Leek, raw","leek raw","DTU",245
8,"Garlic","0090","Garlic, dried, powder","garlic dried powder","DTU",246
8,"Garlic","0089","Garlic, raw","garlic raw","DTU",247
8,"Garlic","02020","Spices, garlic powder","spices garlic powder","USDA",248
9,"Chives","0213","Chives, raw","chives raw","DTU",249
9,"Chives","11615","Chives, freeze-dried","chives freeze dried","USDA",250
11,"Cashew nut","0649","Cashew nuts, dry roasted","cashew nuts dry roasted","DTU",251
11,"Cashew nut","0650","Cashew nuts, oil roasted","cashew nuts oil roasted","DTU",252
