input_desc,target_desc,index,match_fuzzy,score_fuzzy,match_tfidf,score_tfidf,match_embed,score_embed,match_o3
"onions, spring or scallions (includes tops and bulb), raw","onions, spring or scallions (includes tops and bulb), raw",0,"onions, spring or scallions (includes tops and bulb), raw",100.0,"onions, spring or scallions (includes tops and bulb), raw",1.0000000000000002,"onions, spring or scallions (includes tops and bulb), raw",1.0000004,"onions, spring or scallions (includes tops and bulb), raw"
"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled","beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",1,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",100.0,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",1.0,"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",1.0000004,"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled"
"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled","beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",2,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",100.0,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",1.0,"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",0.9999996,"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled"
"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled","beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",3,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",100.0,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",1.0,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",0.9999997,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled"
"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled","beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",4,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",100.0,"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",1.0,"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",1.0000001,"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled"
"figs, dried, uncooked","figs, dried, uncooked",5,"figs, dried, uncooked",100.0,"figs, dried, uncooked",1.0000000000000002,"figs, dried, uncooked",1.0000008,"figs, dried, uncooked"
"peppers, hot chili, red, raw","peppers, hot chili, red, raw",6,"peppers, hot chili, red, raw",100.0,"peppers, hot chili, red, raw",1.0,"peppers, hot chili, red, raw",0.9999999,"peppers, hot chili, red, raw"
"peppers, jalapeno, raw","peppers, jalapeno, raw",7,"peppers, jalapeno, raw",100.0,"peppers, jalapeno, raw",1.0,"peppers, jalapeno, raw",0.9999998,"peppers, jalapeno, raw"
"pepperoni, beef and pork, sliced","pepperoni, pork, beef",8,"pepperoni, pork, beef",72.72727272727273,"pepperoni, pork, beef",0.8145213375931277,"pepperoni, pork, beef",0.9750269,"pepperoni, pork, beef"
"snacks, tortilla chips, plain, white corn, salted","snacks, tortilla chips, plain, white corn",9,"snacks, tortilla chips, plain, white corn",93.67088607594937,"snacks, tortilla chips, plain, white corn",0.9573401498126254,"snacks, tortilla chips, plain, white corn",0.98094547,"snacks, tortilla chips, plain, white corn"
"beans, snap, green, raw","beans, snap, green, raw",10,"beans, snap, green, raw",100.0,"beans, snap, green, raw",1.0,"beans, snap, green, raw",1.0,"beans, snap, green, raw"
"seeds, sesame seed kernels, dried (decorticated)","seeds, sesame seed kernels, dried (decorticated)",11,"seeds, sesame seed kernels, dried (decorticated)",100.0,"seeds, sesame seed kernels, dried (decorticated)",1.0000000000000002,"seeds, sesame seed kernels, dried (decorticated)",0.9999993,"seeds, sesame seed kernels, dried (decorticated)"
"spices, pepper, red or cayenne","spices, pepper, red or cayenne",12,"spices, pepper, red or cayenne",100.0,"spices, pepper, red or cayenne",1.0,"spices, pepper, red or cayenne",1.0,"spices, pepper, red or cayenne"
soy sauce made from soy and wheat (shoyu),soy sauce made from soy and wheat (shoyu),13,soy sauce made from soy and wheat (shoyu),100.0,soy sauce made from soy and wheat (shoyu),1.0000000000000002,soy sauce made from soy and wheat (shoyu),1.0,soy sauce made from soy and wheat (shoyu)
"vinegar, distilled","vinegar, distilled",14,"vinegar, distilled",100.0,"vinegar, distilled",1.0000000000000002,"vinegar, distilled",0.99999976,"vinegar, distilled"
"salad dressing, italian dressing, fat-free","salad dressing, italian dressing, fat-free",15,"salad dressing, italian dressing, fat-free",100.0,"salad dressing, italian dressing, fat-free",1.0000000000000002,"salad dressing, italian dressing, fat-free",0.99999905,"salad dressing, italian dressing, fat-free"
"breakfast bars, oats, sugar, raisins, coconut (include granola bar)","breakfast bars, oats, sugar, raisins, coconut (include granola bar)",16,"breakfast bars, oats, sugar, raisins, coconut (include granola bar)",100.0,"breakfast bars, oats, sugar, raisins, coconut (include granola bar)",1.0000000000000002,"breakfast bars, oats, sugar, raisins, coconut (include granola bar)",1.0,"breakfast bars, oats, sugar, raisins, coconut (include granola bar)"
"beef, cured, pastrami","beef, cured, pastrami",17,"beef, cured, pastrami",100.0,"beef, cured, pastrami",1.0,"beef, cured, pastrami",1.0000013,"beef, cured, pastrami"
"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched","cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",18,"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",100.0,"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",1.0,"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",1.0000002,"cookies, chocolate chip, commercially prepared, regular, higher fat, enriched"
"frozen novelties, fruit and juice bars","frozen novelties, fruit and juice bars",19,"frozen novelties, fruit and juice bars",100.0,"frozen novelties, fruit and juice bars",1.0,"frozen novelties, fruit and juice bars",0.99999976,"frozen novelties, fruit and juice bars"
"frozen novelties, juice type, orange","frozen novelties, juice type, orange",20,"frozen novelties, juice type, orange",100.0,"frozen novelties, juice type, orange",1.0000000000000002,"frozen novelties, juice type, orange",1.0,"frozen novelties, juice type, orange"
"sugars, granulated","sugars, granulated",21,"sugars, granulated",100.0,"sugars, granulated",1.0,"sugars, granulated",0.9999994,"sugars, granulated"
"macaroni and cheese dinner with dry sauce mix, boxed, uncooked","macaroni and cheese dinner with dry sauce mix, boxed, uncooked",22,"macaroni and cheese dinner with dry sauce mix, boxed, uncooked",100.0,"macaroni and cheese dinner with dry sauce mix, boxed, uncooked",1.0,"macaroni and cheese dinner with dry sauce mix, boxed, uncooked",1.0000002,"macaroni and cheese dinner with dry sauce mix, boxed, uncooked"
"beverages, water, tap, drinking","water, tap, drinking",23,"water, tap, drinking",80.0,"water, tap, drinking",0.9306324150360104,"water, tap, drinking",0.98199147,"beverages, tea, hibiscus, brewed"
"peppers, sweet, green, raw","peppers, sweet, green, raw",24,"pepper, sweet, green, raw",100.0,"pepper, sweet, green, raw",1.0,"peppers, sweet, green, raw",1.0000007,"peppers, sweet, green, raw"
"squash, winter, all varieties, cooked, baked, without salt","squash, winter, all varieties, cooked, baked, without salt",25,"squash, winter, all varieties, cooked, baked, without salt",100.0,"squash, winter, all varieties, cooked, baked, without salt",1.0000000000000002,"squash, winter, all varieties, cooked, baked, without salt",0.99999905,"squash, winter, all varieties, cooked, baked, without salt"
"cereals ready-to-eat, kellogg, kellogg's corn flakes","cereals ready-to-eat, kellogg, kellogg's corn flakes",26,"cereals ready-to-eat, kellogg, kellogg's corn flakes",100.0,"cereals ready-to-eat, kellogg, kellogg's corn flakes",1.0,"cereals ready-to-eat, kellogg, kellogg's corn flakes",1.0000002,"cereals ready-to-eat, kellogg, kellogg's corn flakes"
"nuts, almonds, dry roasted, without salt added","nuts, almonds, dry roasted, without salt added",27,"nuts, almonds, dry roasted, without salt added",100.0,"nuts, almonds, dry roasted, without salt added",1.0,"nuts, almonds, dry roasted, without salt added",0.9999994,"nuts, almonds, dry roasted, without salt added"
"pork sausage, link/patty, cooked, pan-fried","pork sausage, fresh, cooked",28,"pork, cured, bacon, cooked, pan-fried",68.75,"turkey and pork sausage, fresh, bulk, patty or link, cooked",0.5976454747997578,"smoked link sausage, pork",0.93277377,"pork, cured, bacon, cooked, pan-fried"
"corn, sweet, yellow, raw","corn, sweet, yellow, raw",29,"corn, sweet, yellow, raw",100.0,"corn, sweet, yellow, raw",1.0000000000000002,"corn, sweet, yellow, raw",1.0000001,"corn, sweet, yellow, raw"
